Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Major Image,Illusion,1 action,"V, S, M",,,,Yes,PHB 258
Mass Healing Word,Evocation,1 bonus action,V,,,,,PHB 258
Meld Into Stone,Transmutation,1 action,"V, S",,,Yes,,PHB 259
Melf's Minute Meteors,Evocation,1 action,"V, S, M",,Dexterity,,Yes,"XGE 161, EEPC 20"
Motivational Speech,Enchantment,1 minute,V,,,,,AI 77
Nondetection,Abjuration,1 action,"V, S, M",25gp,,,,PHB 263
Phantom Steed,Illusion,1 minute,"V, S",,,Yes,,PHB 265
Plant Growth,Transmutation,"1 action, 8 hours","V, S",,,,,PHB 266
Protection From Energy,Abjuration,1 action,"V, S",,,,Yes,PHB 270
Pulse Wave,Evocation,1 action,"V, S",,Constitution,,,EGW 188
Remove Curse,Abjuration,1 action,"V, S",,,,,PHB 271
Revivify,Necromancy,1 action,"V, S, M",300gp,,,,PHB 272
Sending,Evocation,1 action,"V, S, M",,,,,PHB 274
Sleet Storm,Conjuration,1 action,"V, S, M",,Dexterity,,Yes,PHB 276
Slow,Transmutation,1 action,"V, S, M",,Wisdom,,Yes,PHB 277
Speak With Dead,Necromancy,1 action,"V, S, M",,,,,PHB 277
Speak With Plants,Transmutation,1 action,"V, S",,,,,PHB 277
Spirit Guardians,Conjuration,1 action,"V, S, M",,Wisdom,,Yes,PHB 278
Spirit Shroud,Necromancy,1 bonus action,"V, S",,,,Yes,TCE 108
Stinking Cloud,Conjuration,1 action,"V, S, M",,Constitution,,Yes,PHB 278
Summon Fey,Conjuration,1 action,"V, S, M",300gp,,,Yes,TCE 112
Summon Lesser Demons,Conjuration,1 action,"V, S, M",,,,Yes,XGE 167
Summon Shadowspawn,Conjuration,1 action,"V, S, M",300gp,,,Yes,TCE 113
Summon Undead,Necromancy,1 action,"V, S, M",300gp,,,Yes,TCE 114
Thunder Step,Conjuration,1 action,V,,Constitution,,,XGE 168
Tidal Wave,Conjuration,1 action,"V, S, M",,Dexterity,,,"XGE 168, EEPC 22"
Tiny Servant,Transmutation,1 minute,"V, S",,,,,XGE 168
Tongues,Divination,1 action,"V, M",,,,,PHB 283
Vampiric Touch,Necromancy,1 action,"V, S",,Attack roll,,Yes,PHB 285
Wall of Sand,Evocation,1 action,"V, S, M",,,,Yes,"XGE 170, EEPC 23"
Wall of Water,Evocation,1 action,"V, S, M",,,,Yes,"MOT 27, XGE 170, EEPC 23, VGM 116"
Water Breathing,Transmutation,1 action,"V, S, M",,,Yes,,PHB 287
Water Walk,Transmutation,1 action,"V, S, M",,,Yes,,PHB 287
Wind Wall,Evocation,1 action,"V, S, M",,Strength,,Yes,PHB 288
