Name,School,Casting Time,Comps,Cost,Save,Ritual,Conc.,Source
Prayer of Healing,Evocation,10 minutes,V,,,,,PHB 267
Protection From Poison,Abjuration,1 action,"V, S",,,,,PHB 270
Pyrotechnics,Transmutation,1 action,"V, S",,Constitution,,,"XGE 163, EEPC 21"
Ray of Enfeeblement,Necromancy,1 action,"V, S",,Constitution,,Yes,PHB 271
Rime's Binding Ice,Evocation,1 action,"S, M",,Constitution,,,FTD 21
Rope Trick,Transmutation,1 action,"V, S, M",,,,,PHB 272
Scorching Ray,Evocation,1 action,"V, S",,Attack roll,,,PHB 273
See Invisibility,Divination,1 action,"V, S, M",,,,,PHB 274
Shadow Blade,Illusion,1 bonus action,"V, S",,Attack roll,,Yes,XGE 164
Shatter,Evocation,1 action,"V, S, M",,Constitution,,,PHB 275
Silence,Illusion,1 action,"V, S",,,Yes,Yes,PHB 275
Skywrite,Transmutation,1 action,"V, S",,,Yes,Yes,"XGE 165, EEPC 22"
Snilloc's Snowball Swarm,Evocation,1 action,"V, S, M",,Dexterity,,,"XGE 165, EEPC 22"
Spider Climb,Transmutation,1 action,"V, S, M",,,,Yes,PHB 277
Spike Growth,Transmutation,1 action,"V, S, M",,,,Yes,PHB 277
Spiritual Weapon,Evocation,1 bonus action,"V, S",,Attack roll,,,PHB 278
Suggestion,Enchantment,1 action,"V, M",,Wisdom,,Yes,PHB 279
Summon Beast,Conjuration,1 action,"V, S, M",200gp,,,Yes,TCE 109
Tasha's Mind Whip,Enchantment,1 action,V,,Intelligence,,,TCE 115
Vortex Warp,Conjuration,1 action,"V, S",,Constitution,,,SCC 38
Warding Bond,Abjuration,1 action,"V, S, M",50gp,,,,PHB 287
Warding Wind,Evocation,1 action,V,,,,Yes,"XGE 170, EEPC 23"
Web,Conjuration,1 action,"V, S, M",,Dexterity,,Yes,PHB 287
Wither and Bloom,Necromancy,1 action,"V, S",,Constitution,,,SCC 38
Wristpocket,Conjuration,1 action,S,,,Yes,Yes,EGW 186
Zone of Truth,Enchantment,1 action,"V, S",,Charisma,,,PHB 289
