index,utterance,IC_OOC
1768,"Also hits, go ahead and roll damage.",OOC
1770,"As you cleave through the first goblin, you swing around, another goblin looks up at you, scared, and pulls a dagger out with its gnarled tongue, (hisses), at which point the axe embeds itself straight into its face. Its angry face goes, ""Ugh!"" and falls slack against your blade. You lift backward, and it's stuck to the edge of your axe. Just limply dangling against-- you shake it off a little bit.",IC
1772,"Great. That ends your turn. The thing about rage is that you can use your bonus action for a third attack. If you wanted to do a frenzy action, but you don't need to. That brings us to the ogre's turn. The ogre gets up, let's see if it makes its saving throw for an attempt to get out. It does with an 18. However, the ogre gets about that far. It's going to make a double move.",OOC
1778,It's a big ogre.,OOC
1780,"The ogre takes his full turn to get up in melee with you guys. It does not have its attack since it used its full movement there. Once again, you see as it's lumbering forward, it also has this look in its eye of desperation.",IC
1783,Now it is Vax's go.,OOC
1788,"All right. As you dodge to the side, this blur of shadow and speed, you coast up to the side of your sister, dagger both plunge towards the side of the ogre. Go ahead and roll for an attack.",IC
1793,"Yeah it does because you have another ally adjacent to it. You don't get advantage on the attack roll, but you can still do the sneak attack.",OOC
1795,Yeah! You can multiply the sneak attack damage.,OOC
1797,"It does. Modifiers don't double, but any dice you roll double.",OOC
1801,35 damage.,OOC
1803,"The poison's not going to factor in. You swing past her, both blades jam right into the side of its rib cage. You hear it howl out in pain. As it does, you twist the daggers in a way where both blades are now going in two different directions, and you carve out a section of its entire abdomen. As you do, the flesh, like whale blubber, sloughs off the sides of it. Organs spill out, intestines, and it looks down and tries to pull them back in. You see the color draining from its face, and you lean up and kick it down. The ogre and falls to the ground lifeless, destroyed.",IC
1807,That brings us to Keyleth.,OOC
1810,There are two goblins left.,OOC
1812,Right here?,OOC
1814,"Right, here?",OOC
1816,"All right, Wall of Stone.",OOC
1818,All right. A giant wall of stone now completely seals off that part of the mine.,IC
1820,"I'm going to say that you moved up to there with your movement. All right, I'd say probably over here, not right next to the goblins and that will give you enough range. Okay, so the wall of stone-- (boom)",OOC
1822,"They are all watching you do this now. They don't want to put their lives at risk, and you guys seem intent on getting into the middle of this battle, so they are going to sit back and let you do it.",IC
1831,"A very gentle attempt at intimidation, however, the message gets across. The guards look at you, taken off guard.",IC
1833,"""We don't know! It's been different things. Strange abominations. It's hard to describe. They're put together. Something's making things down there.""",IC
1835,"As they're talking, you hear a (boom) against the stone.",IC
1838,"The stone cracks, and you can see a noticeable crack and an audible (cracking).",IC
1847,Roll stealth both of you.,OOC
1851,"Yeah, it is a huge ceiling.",OOC
1855,"Yeah, the entanglement is gone. There are minecarts, some rocks, there is a smashed cart over here from when the ogre barreled through. This is a piece of stone that rises about 15 feet, and these are both braziers for light in the center of the area. Yeah, it's hundreds and hundreds of feet up. You can look up to the very top of Kraghammer from here.",IC
1857,"Whatcha got? Well, let's see. Keyleth, that's your turn, Stoneskin and moving up. Anywhere else you want to go? Right now, we're technically not in combat.",OOC
1864,Back here. Both of these goblins-- I'll just say that you guys end up taking them down. It's not even a question. You step on them and crush them.,IC
1866,You can.,OOC
1868,"Balgus? You tell them, ""Get Balgus!"" and they're like, ""Who?"" Some of them have set crossbows up by the way. They're barreling down to get ready to fire at whatever comes through. (impact) Another crack in the wall. You can see the dust settle as the stone cracks again and a large piece at the top tumbles off. The stone wall's probably not going to hold another impact. Anybody else want to move anywhere?",IC
1871,"Not currently, no. You guys have had a pretty clean sweep into this battle, so far.",OOC
1873,You can inspire anybody. Just give them a dice.,OOC
1875,You can spend all your uses to inspire as many people as you have the uses of it.,OOC
1881,"Each of you has to have a single d8 dice, inspiration dice. The bardic inspiration is flowing through you, that you can use to add to an attack roll, not damage. You can add it to an attack roll, a saving throw.",OOC
1883,"There you go. That's what a shawm sounds like, apparently. You can use it on attack roll, a saving throw, or an ability check. Any skill. Tiberius, are you going to stay where you are, are you moving anywhere? Last chance.",OOC
1889,Nope. They're both concentration spells.,OOC
1891,"Okay, Stoneskin stays on. At which point (boom) the stone breaks through scattering across the ground. Immediately bursting through--",IC
1894,"A bulbous, oversized, naga-like creature. You've encountered a naga before, which is a large serpentine creature with a humanoid head. However, this one is swollen, it is bulbous. The way it moves looks unnatural and it has affixed to it not one, not three, but five other different colored naga heads stitched to its body. It is a seriously terrible abomination. As it breaks through the stone, (hisses and growls) all the heads rear back.",IC
1896,We're beginning back at the top of the initiative order.,OOC
1899,"Correct, you can, yes. Because this still part of the encounter.",OOC
1901,"That is now marked with the Hunter's Mark. Percy, you're up first.",OOC
1905,"Okay, so you're aiming. That brings us to Tiberius.",OOC
1909,I'm keeping the same initiative order.,OOC
1914,It's an aimed ray attack?,OOC
1916,Then you have to roll for the attack. Roll a d20 and add your--,OOC
1918,Top of your spell page.,OOC
1920,23? 23 hits.,OOC
1922,12 points of damage to the naga. That brings us to--,OOC
1926,"Okay, so you fire one beam off and it slams into the side of one of the naga heads. The second you bring back and as you do there's a flicker of arcane instability. His arm shakes as he releases the surge of scorching energy as it blasts into the side of the naga. Also, does not make a saving throw again! Roll full damage.",IC
1930,12?,OOC
1932,Multiplied? Or did you roll a 12?,OOC
1934,12. Times two. 24 points of damage.,OOC
1938,"Next week, you can donate to then. All right, so that brings us to the end of Tiberius' turn. You want to move at all, are you staying where you are?",OOC
1940,"Grog and Vex, you're up.",OOC
1943,"What did you roll for stealth, by the way?",OOC
1945,"What did you roll for stealth, by the way?",OOC
1947,"Then yeah, he has no idea you're there.",OOC
1949,He sees the bear going (growling).,IC
1951,"All right, go for it!",OOC
1955,"Okay, so using your bowstring.",OOC
1957,"That he created and crafted! All right so as you pull the second arrow out you nock it. As you let it, go it bursts into flames arcing halfway through the air.",IC
1959,What was your to hit roll on that?,OOC
1961,21 hits!,OOC
1964,Well inspiration dice is to hit.,OOC
1967,11 points of damage.,OOC
1969,"An additional seven, so 18 total damage and that arrow (impact) in the side of its body. One of the serpent heads reels back from the pain. It begins snatching at where the arrow's now protruding from it, trying to break it off.",IC
1971,"That hits, go ahead and roll damage.",OOC
1973,"Grog, you're on deck.",OOC
1975,"14 damage, all right. Both arrows sink into it. Definitely piercing through the scales a little bit, but not sticking too deeply into its body; it's definitely a hearty creature. Grog, you're up!",IC
1978,"He comes running around, rears back, and takes his double-handed great axe and lobs it overhand. The chain, that's wrapped around your wrist, keeping it attached to you, in some degree. Go ahead and roll for the attack.",IC
1980,17? It just hits!,OOC
1982,15 points of damage. The axe embeds itself pretty deeply into the torso.,IC
1986,Six? Awesome. Six damage. All right.,OOC
1988,Go ahead and roll an athletics check.,OOC
1990,Roll a d20.,OOC
1992,It's a DC 12.,OOC
1996,Plus your athletics!,OOC
1998,12 is the DC! So yeah!,OOC
2000,"You pull back the chain and as you do, the blade is resisting, it's stuck in the torso and it actually (whoosh) and flies back, and you barely catch it.",IC
2011,"All right. So. Against Keyleth, it's a natural 20.",OOC
2013,"That's a 12 plus seven, that's going to be a 19 to hit?",OOC
2015,Natural 20 again.,OOC
2017,"Two critical hits, and a hit on you.",OOC
2019,"On Tiberius, that's a 22 to hit and a 13 to hit.",OOC
2021,"Okay, cool. Against Keyleth, you take--",OOC
2023,I know. So you take half damage for these. Which is fine.,OOC
2025,"That's two plus four, that's six, damage halved, you take three damage. Oh, sorry. Three multiplied by two because it's a critical. So you take six damage from the first strike.",OOC
2027,"Not too bad. You take seven damage from the second strike, and another six damage from the 3rd strike. Actually, it would have been six, four and six. Because you have resistance on the damage because of Stoneskin.",OOC
2029,"Yes. However, make a constitution saving throw. As venom from the fangs of the naga begin to pulse into your bloodstream.",IC
2031,"Yeah, constitution saving throw.",OOC
2033,Natural one? Natural one on the constitution saving throw.,OOC
2036,"You feel this burning pain pulse into your bloodstream, as your whole body doubles over from the pain.",IC
2038,You suffer 31 points of poison damage.,OOC
2042,The poison damage is not halved because it is not a physical attack on your body.,OOC
2045,Tiberius you take 13 points of damage halved by Stoneskin so you take a total of seven. Also make a constitution saving throw. Whatcha got?,OOC
2047,"16, you manage to physically resist the poison in your system. You feel that slight tinge, the muscles tense, but then your dragonborn form begins to shrug off the effect of the venom.",IC
2051,True dragonborn challenge. That brings us to Vax.,OOC
2055,"You're stealthed currently, so you would technically get a sneak attack, but you have to be in melee for you to get the other bonus. It would be sneak attack for this damage if you were to roll or if you were to throw a dagger at it, you would get the sneak attack.",OOC
2057,You can throw both daggers at it.,OOC
2060,You can add it after you make the roll by the way.,OOC
2063,"Because you're a rogue, isn't that critical for you?",OOC
2065,Two criticals!,OOC
2067,"That also hits. You chuck both daggers out, they both arc around. You're used to throwing around--",IC
2070,"For flavor it's fine. Just go ahead, it's fine.",OOC
2074,"Yeah, 44 damage.",OOC
2081,"No, only one sneak attack per turn.",OOC
2084,"One actually hit one of the heads, one of the various naga heads directly into its face. As it does it goes through both eyes and you can see it begin reeling from the attack. It's looking pretty rough, actually. The stitches beginning to come apart at some of the seams and you can see a black ichorous liquid spill out from some of the suture marks.",IC
2086,"Because magic. Magic rogue shit. Keyleth, you're up.",OOC
2089,"All right. Makes the saving throw. He gets pushed back, so he takes damage, just half damage.",OOC
2091,As you're setting up your gun it gets slammed right point blank to you.,IC
2093,"Four damage, all righty.",OOC
2104,"I forgot to mention you actually take half damage for the saving throw for the venom so you still would've taken 14 points of poison damage, so mark that.",OOC
2106,It is half damage on a save. That brings us to Scanlan.,OOC
2108,"Because you're Scanlan I'll say, yes. You have such a high opinion of yourself that even you could inspire yourself. So yes, why not.",OOC
2114,Okay! Straight line that way?,OOC
2116,You don't have to roll to hit. You just roll damage on that. I make a saving throw.,OOC
2118,What's your DC on the spell? Top of your spell list.,OOC
2121,17? That's a failure on its saving throw. Go ahead and roll 8d6.,OOC
2123,Bards. Gets spells from other classes.,OOC
2128,24 points of lightning damage.,OOC
2130,How do you want to do this? (yelling),OOC
2136,"I let the player describe their victory. As you sing to yourself to bolster your arcane energy, you release a shear bolt of energy. How do you want to do this?",IC
2138,"Because of your bardic ability to actually shape sound from an arcane standpoint, a lightning bolt should be an instant flash of arcane energy, you actually cause it to crawl. You control it as it begins to cascade up the torso of this horrible abomination. As it does you can see the bolts splinter and destroy each suture wound as each of its heads begins to slough off the rest of the torso until nothing is left but the single head screaming into the air. As the bolt makes its way up the neck, its eyes burst out in a blast of energy. The body falls limp to the ground.",IC
2140,A Scanlan-shaped lightning bolt is burned into the torso of the strange naga beast.,IC
2142,"The dust settles, the adrenaline still pumping in your system, Scanlan. All the rest of the dwarves begin stepping down, putting their crossbows down, looking down at the little gnome that created a storm from its hands. One of them pats him on the shoulder and goes, ""Well done.""",IC
2146,"""That was pretty cool.""",OOC
2148,"All the dwarves look into the tunnel that it came from and the one that you spoke to earlier goes, ""So that's the kind of thing that's been coming out of there.""",IC
2152,We'll go ahead and leave the game there for the night. (cheering),OOC
2153,"Folks, well done. Hope you guys had fun watching our first ever Critical Role. That was a good time so we'll be here next week on Thursday. 7:00, though. Today was a special early edition because all of Geek & Sundry's going to South by Southwest.",OOC
2155,"Dude, thank you, Zac!",OOC
2157,Good! That's good.,OOC
2159,Thank you all for coming!,OOC
2160,"Hello everyone, and welcome to the second episode of Critical Role, where a bunch of us crazy voice actor, nerdy types sit here and play Dungeons and Dragons. We'll be continuing from last week's adventure, so in the meantime, let's go ahead and show you some of the character backstory.",OOC
2169,Tonight we can't donate here.,OOC
2171,It's not available yet. Start saving your money.,OOC
2174,"Yes, but we'll be getting that going in the near future. So, anyway. Let's go ahead and do a little recap of what happened last week. So the party has been hired by their friend, Arcanist Allura Vysoren, in the city of Emon to head towards the dwarven town of Kraghammer, as a good friend of hers, and one of the members of the Council of Tal'Dorei, has gone missing. This, being a halfling paladin, named Lady Kima of Vord, who was on a vision quest as part of a pilgrimage and was drawn towards some dark evil she said was manifesting somewhere deep beneath Kraghammer and hadn't been heard from since. So the party was sent there to go ahead and seek her. Upon arriving in Kraghammer, shenanigans ensued. They made some friends, made some enemies, wandered the town. Brother, sisters, walked around as if they were married.",IC
2176,"Bears almost got into fights in rings. And eventually the party made their way towards the bottom ring of Kraghammer proper, talking to Lord Nostoc Greyspine, who is--",IC
2178,"Yes, Greyspine indeed. Who is the head of the Greyspine Mines at the bottom of Kraghammer, where supposedly this paladin disappeared to. After having a conversation with him, a bunch of goblins and ogres began to spring from the mines and attacking the workers. The party swooped down to aid, realized that the goblins and ogre's weren't attacking, they were fleeing from something else, of which emerging from within the mines proper some strange naga-based hydra-ish abomination. The party then proceeded to slaughter it, final blow dealt by Scanlan via lightning bolt.",IC
2182,"And that's where we pick up. So, as all of you are still riding the adrenaline of the battle, Scanlan feeling the tingling in his fingers as the little bolts of arcane energy kind of (imitates electricity crackling) spark throughout, the rest of the nearby workers and miners slowly converge in and begin to walk up to the party. And someone starts, ""That was great, that was well done! Fantastic! Where'd you learn that?"" One of them comes up there, ""Ah, I could've done better than that."" And they start just shouting off at each other and pat each other on the back. A few moments of this progresses before, all of a sudden, there's a hush comes about the crowd, and you see about five or six Carvers pull their way through, Carvers being the guards of Kraghammer, with Lord Nostoc Greyspine himself stepping through. He looks at the rest of the group and goes, ""All right, so you've certainly proven yourselves in battle.""",IC
2184,"""I would like to continue this conversation that we had back in my office if you don't mind."" He turns around and begins to walk back.",IC
2201,What'd you roll?,OOC
2203,So thirteen?,OOC
2205,"That'd be enough. So, after you finish casting the spell, you feel the poison leave the rest of your body. You can kind of take a breath to yourself. The rest of the miners kind of look about and Awkwardly staring back at Nostoc as he walks off, kind of looking back like, what ""Are you gonna go? Talk to him?""",IC
2227,"All right, so as you head back to the ramp that heads up from the mine enclosure itself to the top of the realm, which is where the Greyspine Industries mining facility is, you are brought into the building again, brought back to Nostoc's office, in which he's not sitting, he's kind of pacing behind his desk, waiting for you as you approach. As you enter the room, he stops pacing, turns around, puts his hand on the desk, and says, Please, enter and close the doors behind you. (loud thud)",IC
2234,"""Well let's be clear."" ""We dwarves don't need help from outsiders. We can handle our own business just fine.""",IC
2237,"""As what the discussion was based on previously, you're searching for her, and last we saw her, She went down into the mine.""",IC
2243,"""You're welcome to. As far as I know, she's down there somewhere. Hopefully still in one piece.""",IC
2245,"""Getting to that. You see these small intrusions have been bad for meeting our quotas with the Bronzegrip metal warehouse and export shipments. Employees have been forced to collapse a non-negotiable portion of our tunnels to prevent incursions like this. Without my approval. And this is a pattern I wish to stop at once. Thus, I have a proposition for you. Now, I will give you free reign to our mines. I shall get the proper approvals to make sure no Carvers bother you as you wander the city's lower ring. And I will contract you to delve past our tunnels and investigate the source of these creatures, where they come from, where they live, and if there is some sort of a leader who gives them their commands. Eliminate them. For this, I will reward you with not a trifle sum. 25,000 gold pieces. Plus 250 gold per beast scalp you provide upon returning.""",IC
2249,"""The brazen halfling bitch went in there without my approval and wandered into the mines, not to be seen. So if she is down there, I hope she's in one piece. I can't guarantee it. But if there's any place to find her, that's probably it.""",IC
2251,"""Not beneath this mountain, it doesn't, of human closers.""",IC
2253,"""Great. How does that help us dwarves?""",IC
2257,"He sits back for a second. ""The types of creatures, I do not know. I mostly deal with the business and just know that there's some bullshite going on down in the mines. You could ask our foreman, Hieris. He's dealt with the cleanup each time we've had an incursion like this, so if anyone has information on what these creatures are, he'd be the one to talk to.""",IC
2260,"""He's a foreman at the mine proper.""",IC
2265,"""This deal was not sewn in yet, so no.""",IC
2267,"""But we thank you for your aid.""",IC
2274,Make a persuasion roll.,OOC
2281,"You can see this long, distant, angry, dwarven, mistrusting stare. Rubs his chin, his well-kept, blackened beard and goes, ""Huh, but a sip, as it was a gift.""",IC
2297,"Yep, you add a d8 to it as well.",OOC
2302,"As he's listening to the gnomish music and kind of pushing it away with his hands, like, ""Stop, I don't- no. I appreciate it, but I don't.""",IC
2338,"You can as well. So, while you guys are taking a short rest, you're able to use any of your hit dice to heal up naturally.",OOC
2345,"Yeah, on every hit dice, you get an extra d6.",OOC
2350,"All right, roll an investigate check.",OOC
2353,"A brief discussion with a few of the other wandering dwarf miners that are in the outskirts of the buildings' facilities. Eventually it leads you over to what is a small, secondary building maybe 200 yards off from the main property. That apparently is where Hieris resides and keeps watch over the entire establishment.",IC
2356,"All right, the rest of you going with her?",OOC
2358,"Why not! Why split the party? So the the group makes their way over to the outskirts of the building. Opens up and a very nice, portly looking dwarf with a big tuft of a chinstrap beard. Big reddish, ruddy nose. Leather apron on. And he opens the door. ""Aye, hello! Nice to meet you. What can I do for ye?""",IC
2360,"""I am, I am. Foreman of this here fine mine.""",IC
2362,"""Oh, have you! From who?""",IC
2364,"""Really? Oh. All right. Well, how can I be of service?""",IC
2366,"""Aye. Nasty lot. It always makes my weeks that much more interesting.""",IC
2370,"""Terrible kinds."" He starts rubbing his chin for a little and goes, ""We generally deal with the occasional goblin den we stumble across when opening new tunnels. That's part of the norm. Other nasty underground beasties. However, over this past few weeks, we've seen some real nightmarish things slither out of the shadows. Many goblins stitched together, like some kind of ball of screaming green lint.""",IC
2372,"""Slimes and oozes that would mutate and change color rapidly before seeming to dissolve on their own. Unstable-looking really, in their form.""",IC
2374,"""If you will, aye aye.""",IC
2376,"""Perhaps, but they're not undead, per se. They're still alive. At least from what we can tell. Whatever agony face them in their physical form.""",OOC
2381,"""Aye, duergar."" And he spits to the side. ""Filthy lost souls. Dwarves of old that turned to a darker god. Thankfully, they live far beneath the mountains, and usually far north enough to not worry about it. But one of them found its way up here, in this strange, awful, maw-covered form. It was terrifying. And the smell! Oh ho ho! Anyway, we've even seen a few creatures from the surface that normally aren't found down here as well, which is strange. They don't wander down. Something's bringing them. Weirdest thing. Oh! And I just heard we had some weird, many-headed serpent thing that just got killed down there.""",IC
2395,"""Not within our mines. They're usually well-guarded. Or, they were.""",IC
2403,"It's kinda haphazardly scrawled across a piece of parchment, but he hands it over to you.",IC
2404,"And he says, ""So that's the front part of the mines. Unfortunately, half of our tunnels have been relinquished to close off some of these beasties coming through, so we're gonna have to recarve portions of the mine as we progress forward. Kind of starting at square one best we can. But that at least is what we're currently working with. There is a subterranean level as well. We have an elevator inside that brings the various mine carts to and from.""",IC
2406,"""No, we've closed it off each time.""",IC
2408,"""Oh no, we've had a few tunnels they've come through, but we've managed to collapse those and make sure they're not coming through again.""",IC
2417,"""Not to the mine, this is all proprietary. This is the business we run, so we don't have any internal or secret entrances. That would leave us open to a sort of a thief to come in and steal our mithril.""",IC
2427,"""Finest of military classes, aye. Proud of 'em.""",IC
2429,"""I had a cousin who was once a carver. Raised him there. His whole family brought him up on that side. Military weapon training every day. Couldn't come out and play with the rest of us. I felt bad for him. But he grew up to be a right nasty dwarf, aye.""",IC
2432,"""Unfortunately, he was slain in one of the incursions. That duergar I was telling you about. But, such is the nature of the fighter, I suppose.""",IC
2440,"""He had parents. We were related somewhat. I'm not gonna say too closely.""",IC
2445,"Yes, Laura?",OOC
2456,There you go.,OOC
2460,"""It doesn't have to be last. You're welcome to stay as long as you like. I don't get visitors to often up here in my booth.""",IC
2462,"""Oh well, I have to stay here. Work, at least for the next six hours.""",IC
2464,"""Aye. But I have some dried fruits. I've got some meats inside. I've got two chairs and you could fit in my lap,"" and he kind of pats you on the head.",IC
2468,"""Fair enough."" Also, apparently my mic's a bit loud. If you can turn it down a bit for you guys.",OOC
2470,"""Forget that, you heard nothing. It's a strange echo in the caverns of Kraghammer. Anyway--""",IC
2473,"""Of course, anytime. When we're not busy. But when I'm not busy, you're welcome to come by.""",IC
2479,"""Oh, I'll save a batch for you, you half-elf lass.""",IC
2486,"""That might be the diabetes, but--"" (group laughs)",OOC
2487,"""But mostly the wink, I think.""",OOC
2494,"For those who are asking, that's West Country, is the accent.",OOC
2503,You can certainly check.,OOC
2544,"You catch him with a handful of dried fruit, ""Hmph! Hi!""",IC
2546,"He reaches over and grabs this really awesomely intricate piece of clockwork on his desk. It's this brass, cylindrical piece that as he pulls out you hear this (tongue clicking), fring! And springs and things making strange whirring sounds. ""Oh, I reckon it's about two hours from sunset.""",IC
2557,"""Goodbye.""",IC
2559,"""Good luck.""",IC
2561,"You hear the door open behind you, and he starts waving at you guys. ""Stay safe!""",IC
2570,"The mildly rotted turkey leg (imitates moist impact) across the floor. The remainder of what was once meat, now a slush sloughing off the bone as it slams across the stone floor.",IC
2574,You see he immediately steps back and his face squints back.,IC
2577,"""It's the thought that counts."" As he closes his door.",IC
2584,"He takes it from you with trepidation. You can see he probably hasn't encountered dragonborn often, and he's like, ""Thanks.""",IC
2601,Technically in character.,OOC
2604,You guys head to the House Thunderbrand.,IC
2606,"All right. So, Tiberius leads you to where it's residing. Once again you come upon what looks like a very out of place, very well-kept green lawn that stretches for a good 60 feet before you see this really beautiful-looking alabaster and gold building, slightly domed with these four towers to each corner, with these blue pointed crystals on top of each tower.",IC
2609,"He points out to you as you approach, there are a series of stone sigils carved into the stonework that surrounds the exterior of the lawn.",IC
2612,Go ahead and make a perception check.,OOC
2618,What'd you roll?,OOC
2621,Rolled a one naturally?,OOC
2628,"As you look about, it's hard to tell the nature. This looks just like a lawn with a well-framed stone exterior.",IC
2630,But there's no fence. There's nothing keeping you from walking into the lawn and towards the building.,IC
2632,"No nature check required. There is no light source, other than the green rocks that generally permeate the interior of Kraghammer to give its kind of strange luminescent atmosphere. This kind of dull red glow that's around the entire city. Other than a couple of sparks of lantern light. There's no light source.",IC
2638,I forgot that wasn't water. (coughs),OOC
2642,"From what you can see, There appears to be a large, almost like beachwood, Light wood double door in the front of the compound.",IC
2650,"So, you walk towards the grass. You step onto the walkway that leads towards the front of the building. As soon as you cross into the threshold where those stone sigils are, you make a dexterity saving throw. (Travis laughs)",IC
2654,12.,OOC
2656,"So, as you pull your cloak around you and take a few steps to jaunt upwards, suddenly there's, you guys hear it. The strange (tongue clicking) sound, and a poof, poof of arcane blue energy kind of, just pulses around his feet. You instinctively begin to pull back, but as you do, there's a blast of blue electric energy that (imitates explosion), streaks out from all around you, shocking your body and throwing you about 15 feet back, straight onto your shoulders. You (imitates grinding) skid to a halt (imitates thud).",IC
2661,14 points of lightning damage.,OOC
2664,Yes.,OOC
2675,Let's see.,OOC
2689,"All right, make an arcana check.",OOC
2695,13?,OOC
2697,"Okay. As you concentrate and these kind of shimmering bands of arcane energy wave off your hands toward the enchantment, they impact and dissipate without effect.",IC
2699,They seem to be.,OOC
2702,"Okay, so you pull the flying carpet, Mary Poppins-style, out of the bag of holding. (imitates soft thud)",IC
2730,All right. So the distance unseen servant can be summoned--,OOC
2732,I believe you may be able to actually summon it within the boundary of those arcane sigils.,OOC
2738,Every single time. You see this strange shift of air as some sort of humanoid form then materializes in the opposite side of this boundary and stands at your ready and command.,IC
2741,It's about a 60 foot walk.,OOC
2743,"It kind of saunters over. You guys see this kind of shifting, barely, barely visible form make its way up to the front door. In the distance, you hear a dull (knocking). Eventually, the door slightly opens. And you see a hunched figure with bright white, chalk-white hair, kind of look out the doorway, ""Oh, where's he come from?"" Looking at the form in front of him.",IC
2748,"Opens the door, comes out. You now see this dwarven figure hunched, very, very old, with a long, very, very well-crafted brass staff, looks like a black or purple gem at the top. Spectacles at the tip of its nose. And it begins to kind of shift its way over towards you. (breathes heavily)",IC
2753,"Yes. Walks right to the edge of the sigil. Puts his hand up, and the unseen servant vanishes. He goes, ""So, you have my attention.""",IC
2767,"""You've come to the wrong place. This is a house of study. This is where hardworking dwarves of arcane persuasion put their lives towards pursuing--""",IC
2769,"""--the magical forms and fields that--""",IC
2771,"""I'm sorry."" Your sound is back.",OOC
2773,Make a persuasion check.,OOC
2779,"The dwarf gives you a disapproving brow shift and goes, ""Look, I mean no disrespect. But understand, this is a dwarven house of arcane practitioning and study. Don't see any dwarves among ya. I think our business here is concluded."" ""If you're looking to buy stuff, we produce and sell through the Value of Valor house of sale.""",IC
2798,"Smiles for a second as he looks at you and goes, ""Ah, how nice to meet you. Where are you from?""",IC
2807,Roll a persuasion roll with disadvantage. (all talking and laughing),OOC
2808,You. Roll with disadvantage.,OOC
2812,That's your first roll. Now roll again.,OOC
2814,"No, you have disadvantage.",OOC
2816,"Eight. He goes, ""I've been practicing the arcane arts for over 250 years.""",OOC
2838,"It's a powerful wink, but not this powerful. Not the way this conversation's been going.",OOC
2841,"19. He glares at you two and goes, ""I've said my piece. Good luck to you all."" (group groans)",IC
2846,He turns around and starts walking away.,IC
